"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","9/24/2020 | Jacksonville, Florida!
#TrumpPence2020 #MAGA<U+0001F1FA><U+0001F1F8><U+0001F985> 
<U+0001F310>https://t.co/O7tFcbbbaI 

WAIT FOR IT.... https://t.co/kv2h110q9y",FALSE,0,NA,2020-09-24 23:56:21,FALSE,NA,"1309280544623034374",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","carriebacon5",0,FALSE,FALSE,NA,NA
"2","@realDonaldTrump We love you!

#TrumpPence2020",FALSE,2,"realDonaldTrump",2020-09-24 23:55:23,FALSE,"1309235056934875136","1309280298698383360","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JayHiggies",1,FALSE,FALSE,NA,NA
"3","@JoeBiden @IlhanMN @SpeakerPelosi @AOC @TheDemocrats @CNNPolitics @maddow @MSNBC_Breaking @ABCPolitics¡­ https://t.co/S7Fsc8B2pm",FALSE,0,"JoeBiden",2020-09-24 23:54:57,TRUE,NA,"1309280191240384512","939091","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FchinaLove_DJT",0,FALSE,FALSE,NA,NA
"4","@JLee2027 @CheyenneNDN @realDonaldTrump @FoxNews @OANN @cspan Are deranged leftists letting us know they will riot¡­ https://t.co/YxJpMrGJKV",FALSE,1,"JLee2027",2020-09-24 23:53:37,TRUE,"1309274631375933443","1309279856820011008","38868846","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DVader30",0,FALSE,FALSE,NA,NA
"5","@my3monkees Fox News if full of it! #TrumpPence2020 #GetOutAndVoteRed #VoteDemsOut #WeveGotACountryToSave",FALSE,0,"my3monkees",2020-09-24 23:53:11,FALSE,"1309254610822066177","1309279744911908864","22663306","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vcyoder",0,FALSE,FALSE,NA,NA
"6","OMG Welcome to Socialism! I would sue everyone of them. The school, the pathetic security guard and the other dope¡­ https://t.co/bRguq9CpLB",FALSE,0,NA,2020-09-24 23:51:58,TRUE,NA,"1309279440309018625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Zellabo1",0,FALSE,FALSE,NA,NA
"7","@realDonaldTrump @JoeBiden @SpeakerPelosi   @BarackObama  @JerryNadler @chuckschumer @RepMaxineWaters @IlhanMN¡­ https://t.co/qrfwNiv63M",FALSE,0,"realDonaldTrump",2020-09-24 23:50:20,TRUE,NA,"1309279028411609093","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FchinaLove_DJT",0,FALSE,FALSE,NA,NA
"8","@FloridaDude297 Really? About time. Hope this is real news!
#TrumpPence2020",FALSE,2,"FloridaDude297",2020-09-24 23:48:36,FALSE,"1309276755744743432","1309278594070228992","1116507977828175872","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2DblUz",0,FALSE,FALSE,NA,NA
"9","Fox News Poll: Tight race in Ohio, Biden tops Trump in Nevada and Pennsylvania

https://t.co/DHupxpmCai

Fake polls¡­ https://t.co/klVF2J1DVt",FALSE,0,NA,2020-09-24 23:48:08,TRUE,NA,"1309278474864074752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wmbartlott",0,FALSE,FALSE,NA,NA
"10","Live: Trump hosts a  'Great American Comeback' event in Florida https://t.co/WJDJhlM5wQ via @YouTube 
#TrumpPence2020 <U+0001F44D><U+2764><U+FE0F><U+0001F1FA><U+0001F1F8>",FALSE,0,NA,2020-09-24 23:45:57,FALSE,NA,"1309277927008329729",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LmTerese",0,FALSE,FALSE,NA,NA
"11","@JoeBiden @SpeakerPelosi @RepMaxineWaters @ewarren  @SenSchumer @AdamSchiff @RepJerryNadler @SenKamalaHarris¡­ https://t.co/ylsLsiCvZK",FALSE,0,"JoeBiden",2020-09-24 23:44:57,TRUE,NA,"1309277675236798464","939091","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FchinaLove_DJT",0,FALSE,FALSE,NA,NA
"12","@realDonaldTrump @FoxNews @OANN @cspan Welcome back! I am a Floridian and definitely voting for #TrumpPence2020 and¡­ https://t.co/NpjwIni6gv",FALSE,0,"realDonaldTrump",2020-09-24 23:44:43,TRUE,"1309269556511162369","1309277617124708352","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Cher352",0,FALSE,FALSE,NA,NA
