"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Hate it how my entire family are Trump supports and I¡¯m the only Biden supporter I¡¯m done trying to convince them #BidenHarris2020",FALSE,1,NA,2020-10-09 23:59:59,FALSE,NA,"1314717277489557504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnakeIsTrash1",0,FALSE,FALSE,NA,NA
"2","Finally got my sign today!! Yay!! #BidenHarris2020 #vote https://t.co/vKlTCk5GMm",FALSE,0,NA,2020-10-09 23:59:59,FALSE,NA,"1314717274108948480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StarFishElbow",0,FALSE,FALSE,NA,NA
"3","@SgtSlaughterUSA Hello?? Is this Dr Kevorkian calling from the beyond?? He definitely should if need be. Do I wish¡­ https://t.co/D3PVDRpN86",FALSE,0,"SgtSlaughterUSA",2020-10-09 23:59:56,TRUE,"1314359246818021376","1314717263652560898","1276565850154295298","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ViviClimbsRocks",0,FALSE,FALSE,NA,NA
"4","Vote #November3rd because it¡¯s not hyperbole anymore, your life may depend on it.

#BidenHarris2020 #Biden #Trump¡­ https://t.co/tMolCWSSM4",FALSE,0,NA,2020-10-09 23:59:54,TRUE,NA,"1314717254806839303",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SimplyChow",0,FALSE,FALSE,NA,NA
"5","@NikkiHaley OMFG!
ONE MORE TIME!!
Stop projecting.
Stop being a hypocrite.
GOP STOLE POTUS Obama's last SCOTUS seat¡­ https://t.co/DcfWogGSEb",FALSE,2,"NikkiHaley",2020-10-09 23:59:53,TRUE,"1314309141591138320","1314717248695795713","1079776144524754944","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jeffreynola",1,FALSE,FALSE,NA,NA
"6","@MollyJongFast Talk to the base, rally with the base, embrace the base. Repeat. Zero efforts to expand his electora¡­ https://t.co/i3GbMfQLhK",FALSE,1,"MollyJongFast",2020-10-09 23:59:52,TRUE,"1314704634372657154","1314717245101150210","14298769","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kevinsalwen",0,FALSE,FALSE,NA,NA
"7","@realDonaldTrump Oh they¡¯re voting. They¡¯re voting you out. #BidenHarris2020",FALSE,0,"realDonaldTrump",2020-10-09 23:59:48,FALSE,"1314584655740440576","1314717227770355715","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wendyjaclyn",0,FALSE,FALSE,NA,NA
"8","@DBarkhuff @madrid_mike @FPWellman @ProjectLincoln LOL! When they protest this much, it means you totally got under¡­ https://t.co/61VO5VTiCx",FALSE,0,"DBarkhuff",2020-10-09 23:59:41,TRUE,"1314612536449396737","1314717199286833159","452281360","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NopeNeverTrump",0,FALSE,FALSE,NA,NA
"9","@LindseyGrahamSC Our debt had BALLOONED under Republicans. Couldn't do any worse than you guys. #ChairmanBernie¡­ https://t.co/BnLloowmbB",FALSE,324,"LindseyGrahamSC",2020-10-09 23:59:40,TRUE,"1314713377973907456","1314717195050659841","432895323","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KathyJGoodman",107,FALSE,FALSE,NA,NA
"10","@realDonaldTrump She¡¯s looking to use the #25thAmendment on you, and rightfully so. #25thAmendmentNow¡­ https://t.co/abyE0IymI9",FALSE,0,"realDonaldTrump",2020-10-09 23:59:38,TRUE,"1314591877765660675","1314717187001720833","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alej15pr",0,FALSE,FALSE,NA,NA
"11","@realDonaldTrump @SteveScully Poor baby Donnie pudding in his pampers worried about having to debate Biden and get¡­ https://t.co/zzl3qyz4AO",FALSE,0,"realDonaldTrump",2020-10-09 23:59:34,TRUE,"1314710067699159041","1314717170841120769","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marychelle",0,FALSE,FALSE,NA,NA
"12","@JoeBiden <U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F><U+0001F64F> for change.  Hopefully you win by a LANDSLIDE. #BidenHarris2020 #BidenForPresident",FALSE,0,"JoeBiden",2020-10-09 23:59:34,FALSE,"1314583396970979328","1314717170480238592","939091","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScottBupp",0,FALSE,FALSE,NA,NA
"13","Powerful!
#BidenHarris2020 #KamalaHarrisVP #Arizona #Florida #Georgia #Michigan, #Minnesota #NorthCarolina¡­ https://t.co/7tEN6EG7cP",FALSE,0,NA,2020-10-09 23:59:30,TRUE,NA,"1314717153489113088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ipersevere34",0,FALSE,FALSE,NA,NA
